dataset,variant,n,spearman,kendall,pearson,mae,rmse,bias_mean,bias_std
appceleratorstudio,fewshot_v6_highLowMid_v1,2919,0.359779718890354,0.3117881924580746,0.3109828550914528,2.4282288454950325,3.864172093449927,-0.1294964028776978,3.862001637679473
appceleratorstudio,fewshot_v6_mostFrequent_v1,2919,0.3274216235544686,0.2860212861585579,0.2877346444603979,2.699554642000685,3.944979593675824,-2.3096951010620077,3.1981514245965332
appceleratorstudio,fewshot_v6_scaleAware_v1,2919,0.3882580050909557,0.3389400283797585,0.339410081008593,2.5227817745803356,4.09496720663703,0.4933196300102775,4.0651435603283685
appceleratorstudio,zeroshot_v6,2919,0.3685951717425569,0.3266100707764304,0.3391962046109319,2.56286399451867,3.7712513064738897,-2.094210346008907,3.1363385409184183
aptanastudio,fewshot_v6_highLowMid_v1,829,0.3647003735543735,0.3012247571687721,0.3552627724726181,4.449939686369119,6.391622230752643,-2.037394451145959,6.058205888800004
aptanastudio,fewshot_v6_mostFrequent_v1,829,0.3617959265741178,0.3128994817115346,0.3678600423646941,4.571773220747889,6.68776316235871,-3.688781664656213,5.578446553145268
aptanastudio,fewshot_v6_scaleAware_v1,829,0.3682884455860299,0.311378296839815,0.4651621871716282,4.041013268998793,5.868276636933146,-2.378769601930036,5.364524757004017
aptanastudio,zeroshot_v6,829,0.3713331161933123,0.3162981135546749,0.4222080619372172,4.917973462002412,6.964237441120801,-4.295536791314837,5.481693790314216
bamboo,fewshot_v6_highLowMid_v1,521,0.342177889525201,0.2982131778826176,0.5460471089969096,1.4241842610364683,2.0323676424714763,0.710172744721689,1.904251271975295
bamboo,fewshot_v6_mostFrequent_v1,521,0.3337729872233906,0.289963348996577,0.3869029223450287,1.5470249520153552,2.1808800984553853,0.7869481765834933,2.0339495006540074
bamboo,fewshot_v6_scaleAware_v1,521,0.3528674411938199,0.3036625726191441,0.4703759721546648,2.1209213051823417,2.7746452800209287,1.6986564299424185,2.1939058236300153
bamboo,zeroshot_v6,521,0.3212908947705794,0.2873929997373509,0.4107108046362287,1.965451055662188,2.512922456152079,1.4740882917466411,2.0351518318712403
clover,fewshot_v6_highLowMid_v1,384,0.5277189606900923,0.4427599901447223,0.627409557205385,3.0885416666666665,5.134645395091401,0.5625,5.103741478889123
clover,fewshot_v6_mostFrequent_v1,384,0.5530986790771263,0.467133861583914,0.5343937219895063,2.6979166666666665,5.977387946809766,-1.5989583333333333,5.7595571804549826
clover,fewshot_v6_scaleAware_v1,384,0.5395384506090073,0.4505833951551091,0.6095415141353286,2.9192708333333335,5.196403002718964,0.0546875,5.196115226206056
clover,zeroshot_v6,384,0.4496133463551566,0.385258716532428,0.520821307079096,3.296875,5.743655920520774,-0.1354166666666666,5.742059357035786
datamanagement,fewshot_v6_highLowMid_v1,4667,0.539525435212705,0.4336903791843534,0.5402262884094826,6.569530747803729,14.689165658529848,-3.3734733233340477,14.29654732725654
datamanagement,fewshot_v6_mostFrequent_v1,4667,0.4990197038452257,0.403991675806803,0.4657539106316148,7.207413756160275,17.10889135140123,-6.427469466466681,15.855655127798736
datamanagement,fewshot_v6_scaleAware_v1,4667,0.5447061220456956,0.4401867777840874,0.4582723047989769,8.041782729805014,14.824225449146777,0.4806085279622884,14.8164326209105
datamanagement,zeroshot_v6,4626,0.470252355008964,0.3873241365657428,0.4054857076801106,7.051880674448768,16.2434329408886,-4.559446606139213,15.590399621270471
duracloud,fewshot_v6_highLowMid_v1,666,0.6186027817227008,0.5422530005035405,0.6154526694717456,1.578078078078078,2.2907963130203757,1.2717717717717718,1.9053462436712747
duracloud,fewshot_v6_mostFrequent_v1,666,0.5588740643228467,0.4984029370582702,0.5506981548799602,1.2252252252252251,1.8058962487533057,0.6096096096096096,1.699893345222835
duracloud,fewshot_v6_scaleAware_v1,666,0.5855950908034626,0.5170869399020666,0.5866459993515449,1.65015015015015,2.255790014294014,1.3288288288288288,1.822855598302288
duracloud,zeroshot_v6,666,0.5027239560192847,0.4505749977098389,0.4658868404648586,2.6321321321321323,3.127664029636541,2.343843843843844,2.0709124360912985
jirasoftware_filtered,fewshot_v6_highLowMid_v1,284,0.4113198527097882,0.3372504551610069,0.3618968739943924,3.1338028169014085,4.235164662478882,1.6056338028169015,3.9189998481196184
jirasoftware_filtered,fewshot_v6_mostFrequent_v1,284,0.4044814290517861,0.3434459832856525,0.3241826467142829,2.211267605633803,3.506533137999315,-0.2676056338028169,3.496306890512376
jirasoftware_filtered,fewshot_v6_scaleAware_v1,284,0.4839353281792947,0.4064422238832994,0.443565624972196,2.5774647887323945,3.8152769267995494,1.056338028169014,3.666127111600608
jirasoftware_filtered,zeroshot_v6,283,0.4015415004819569,0.345494851270223,0.320348785033731,2.293286219081272,3.460529586301473,0.1590106007067137,3.456874404217014
mesos,fewshot_v6_highLowMid_v1,1680,0.5362949808977048,0.4614872256602655,0.469038455575113,1.811904761904762,3.2745410438134757,1.0273809523809525,3.109197231811429
mesos,fewshot_v6_mostFrequent_v1,1680,0.5122643355242633,0.4392222717152701,0.4412775299161853,1.2982142857142858,2.225528294692339,-0.1684523809523809,2.2191439759122575
mesos,fewshot_v6_scaleAware_v1,1680,0.5144859904276442,0.4395805037565744,0.4907743809634284,1.9273809523809524,3.45015527600881,1.0773809523809523,3.2776244006929987
mesos,zeroshot_v6,1680,0.4548689005128055,0.3997340636752425,0.4237540877610576,1.8166666666666669,2.5457714706847474,1.1083333333333334,2.2918441489714354
moodle,fewshot_v6_highLowMid_v1,1166,0.4690767179481262,0.3888995357024584,0.4581398538076215,10.531732418524872,20.961575563057355,-7.55746140651801,19.551788336997564
moodle,fewshot_v6_mostFrequent_v1,1166,0.471343418028434,0.3919310256805392,0.4750041829950258,11.128644939965694,22.33197217292005,-9.317324185248712,20.29542931694363
moodle,fewshot_v6_scaleAware_v1,1166,0.4690032330780005,0.3796861065709039,0.4502475036488813,11.05917667238422,21.79498659837458,-9.180960548885077,19.76692703034904
moodle,zeroshot_v6,1166,0.443787553218715,0.3692340124159244,0.4134533895590123,12.168096054888508,23.756988680159537,-11.46140651801029,20.809389029429465
mule,fewshot_v6_highLowMid_v1,889,0.480380212465161,0.4114019632492474,0.5193839720340075,2.2125984251968505,3.106472071161897,0.156355455568054,3.102534721872262
mule,fewshot_v6_mostFrequent_v1,889,0.4901149025641902,0.4250316867986967,0.4795338436094156,2.322834645669291,3.3057539229160935,-1.2137232845894264,3.074879637859114
mule,fewshot_v6_scaleAware_v1,889,0.4709161032152138,0.4046895693027759,0.503783609194934,2.3835770528683913,3.3118731764679445,-1.2992125984251968,3.0463996062731367
mule,zeroshot_v6,889,0.4413582599007253,0.3836370402576332,0.4198201668849665,2.3329583802024745,3.2871567235354577,-0.81214848143982,3.1852494673383687
mulestudio,fewshot_v6_highLowMid_v1,732,0.3532767161302383,0.294809233592099,0.287381735433206,3.2459016393442623,5.389729151624305,-0.8524590163934426,5.321888194357185
mulestudio,fewshot_v6_mostFrequent_v1,732,0.2995539093060486,0.2527053994144935,0.1964207104431624,3.2459016393442623,5.614676318714591,-1.5737704918032789,5.389604494122337
mulestudio,fewshot_v6_scaleAware_v1,732,0.3425834610424563,0.2896054430494325,0.2503055459415256,3.418032786885246,5.610294986546213,-0.4672131147540984,5.590806895383469
mulestudio,zeroshot_v6,732,0.2744204629571241,0.2369012705542547,0.1741431672220227,3.3360655737704916,5.785085402546284,-2.109289617486339,5.386846055375857
springxd,fewshot_v6_highLowMid_v1,3526,0.504305496516833,0.4164113823443177,0.4898253190000726,2.361883153715258,3.6823689630192065,1.076574021554169,3.521481159387599
springxd,fewshot_v6_mostFrequent_v1,3526,0.4817065930394025,0.4087097876908472,0.4179097087820687,1.7328417470221211,3.0724841448236724,-0.9098128190584232,2.9346889876901465
springxd,fewshot_v6_scaleAware_v1,3526,0.4920501791601917,0.4096244357054474,0.4771321991702709,2.789279636982416,3.8612859530953134,2.0348837209302326,3.2815815476480723
springxd,zeroshot_v6,3522,0.4282490343441184,0.3699107011018987,0.4137575691761758,2.0090857467348098,3.0027433982871137,0.5417376490630323,2.9534705408289588
talenddataquality,fewshot_v6_highLowMid_v1,1381,0.3571662632483547,0.2963276303116957,0.4141272353911843,3.317161477190442,4.95709323622655,-0.7842143374366402,4.894668653300428
talenddataquality,fewshot_v6_mostFrequent_v1,1381,0.3629566711736368,0.3045178783114315,0.3390738049463667,3.3598841419261403,5.186737389745217,-1.726285300506879,4.891030955885978
talenddataquality,fewshot_v6_scaleAware_v1,1381,0.3658286711729329,0.2973166064362569,0.3822369472546291,3.383779869659667,5.047852118130741,-0.4018826937002172,5.031828823302843
talenddataquality,zeroshot_v6,1381,0.3245473481259511,0.2739258056809979,0.352209393536076,3.385228095582911,5.139262619789236,-1.67632150615496,4.858185513457189
talendesb,fewshot_v6_highLowMid_v1,868,0.5312719430802212,0.4670988179667089,0.4908279568519936,1.4850230414746544,2.0525919323024233,1.1716589861751152,1.6853334568174028
talendesb,fewshot_v6_mostFrequent_v1,868,0.5095223017376649,0.4459426839429399,0.4730473961237664,1.2615207373271888,1.778973452241152,0.9205069124423964,1.5223053464809773
talendesb,fewshot_v6_scaleAware_v1,868,0.5126017588115759,0.4561996893539397,0.4968116438583143,1.6428571428571428,2.057357259692447,1.4285714285714286,1.4805075371232004
talendesb,zeroshot_v6,868,0.4502208190103054,0.3990948224627633,0.3999570094737991,2.838709677419355,3.5070698838926653,2.702764976958526,2.234860319982727
titanium,fewshot_v6_highLowMid_v1,2251,0.3882998128306223,0.3234583771890053,0.439907318739759,3.2749888938249665,4.915184678776284,0.4389160373167481,4.8955482980625655
titanium,fewshot_v6_mostFrequent_v1,2251,0.388931377727412,0.3338071153875462,0.418619948011999,3.1514882274544647,5.113722273105029,-2.1590404264771212,4.635590568987727
titanium,fewshot_v6_scaleAware_v1,2251,0.3983835861460154,0.3344452920582415,0.4078440300487665,3.269657929808974,5.066505721995036,0.5171035095513106,5.040048034634011
titanium,zeroshot_v6,2251,0.3258960659249513,0.2798754698791534,0.3567789442047311,3.190581963571746,5.175464104634123,-2.025766326077299,4.762530786303388
usergrid,fewshot_v6_highLowMid_v1,482,0.3499309064869029,0.3103713336165265,0.3825486917632358,1.3195020746887969,1.9770467098543871,0.941908713692946,1.7382524753370432
usergrid,fewshot_v6_mostFrequent_v1,482,0.3073118761824935,0.2708329981485923,0.3845002376831837,1.2634854771784232,1.9554159282061088,0.6742738589211619,1.8354852806431663
usergrid,fewshot_v6_scaleAware_v1,482,0.3827815135932471,0.3352406110111208,0.4194403332827241,1.3049792531120332,1.9522303448881424,0.8443983402489627,1.760168958505652
usergrid,zeroshot_v6,481,0.2436994412651044,0.2160547733439251,0.266629941082289,1.952182952182952,2.8573136272102095,1.6985446985446986,2.297648160899937
